id_customer,dob,age,gender,id_city
268408,1970-01-02,52,M,4.0
269696,1970-01-07,52,F,8.0
268159,1970-01-08,52,F,8.0
270181,1970-01-10,52,F,2.0
268073,1970-01-11,52,M,1.0
273216,1970-01-15,52,F,5.0
266929,1970-01-15,52,M,8.0
275152,1970-01-16,52,M,4.0
275034,1970-01-18,52,F,4.0
273966,1970-01-21,52,M,8.0
270829,1970-01-22,52,F,8.0
266997,1970-01-23,52,M,9.0
272455,1970-01-25,52,M,7.0
274593,1970-01-26,52,M,10.0
273391,1970-01-29,52,F,2.0
267657,1970-01-29,52,F,7.0
271344,1970-01-29,52,F,5.0
268275,1970-02-01,52,F,7.0
274630,1970-02-01,52,M,4.0
273541,1970-02-01,52,M,4.0
270324,1970-02-01,52,F,1.0
273613,1970-02-06,52,M,1.0
271608,1970-02-09,52,F,4.0
269008,1970-02-13,52,F,6.0
267199,1970-02-14,52,F,2.0
267916,1970-02-17,52,F,8.0
267609,1970-02-18,52,M,2.0
270602,1970-02-18,52,M,5.0
272883,1970-02-19,52,M,5.0
272359,1970-02-19,52,M,4.0
272603,1970-02-19,52,F,9.0
272028,1970-02-20,52,F,1.0
274717,1970-02-21,52,M,7.0
273316,1970-02-21,52,M,2.0
271262,1970-02-21,52,M,2.0
267166,1970-02-22,52,F,4.0
270827,1970-03-04,52,F,10.0
273423,1970-03-04,52,F,4.0
271692,1970-03-07,52,M,5.0
274592,1970-03-08,52,M,5.0
271777,1970-03-08,52,M,8.0
266895,1970-03-12,52,M,4.0
274360,1970-03-14,52,M,5.0
274602,1970-03-15,52,F,3.0
266799,1970-03-16,52,F,5.0
272821,1970-03-17,52,F,3.0
267379,1970-03-21,52,F,2.0
273016,1970-03-22,52,M,3.0
273106,1970-03-23,52,F,2.0
271935,1970-03-26,52,M,5.0
273109,1970-03-27,52,F,5.0
270986,1970-03-27,52,M,10.0
266969,1970-03-28,52,M,2.0
273871,1970-03-29,52,M,7.0
273811,1970-03-29,52,M,8.0
271312,1970-04-01,52,F,5.0
274834,1970-04-02,52,M,4.0
271991,1970-04-02,52,M,5.0
269765,1970-04-04,52,F,9.0
272071,1970-04-06,52,F,6.0
272645,1970-04-14,52,F,2.0
270780,1970-04-18,52,F,3.0
272736,1970-04-19,52,F,1.0
272627,1970-04-19,52,F,3.0
272795,1970-04-22,52,M,1.0
270450,1970-04-24,52,F,3.0
266862,1970-04-24,52,F,5.0
274535,1970-04-26,52,F,4.0
269640,1970-04-29,52,M,7.0
268290,1970-04-29,52,M,7.0
275250,1970-05-02,52,F,1.0
272555,1970-05-03,52,M,1.0
268732,1970-05-06,52,M,2.0
271478,1970-05-06,52,F,1.0
267529,1970-05-09,52,M,4.0
271066,1970-05-10,52,M,8.0
267819,1970-05-10,52,F,9.0
269271,1970-05-12,52,F,5.0
273150,1970-05-14,52,F,10.0
267386,1970-05-15,52,M,7.0
274350,1970-05-16,52,F,3.0
273645,1970-05-22,52,F,4.0
270911,1970-05-22,52,M,2.0
268424,1970-05-23,52,F,8.0
271045,1970-05-23,52,F,7.0
268627,1970-06-01,52,M,9.0
270430,1970-06-01,52,M,7.0
271626,1970-06-02,52,M,6.0
272301,1970-06-03,52,F,8.0
269531,1970-06-05,52,M,2.0
274849,1970-06-09,52,M,4.0
271031,1970-06-09,52,F,2.0
272018,1970-06-09,52,F,6.0
272186,1970-06-09,52,M,10.0
270047,1970-06-10,52,M,1.0
274128,1970-06-10,52,M,10.0
268313,1970-06-11,52,F,8.0
270933,1970-06-15,52,M,8.0
271072,1970-06-16,52,M,6.0
271465,1970-06-17,52,F,9.0
274770,1970-06-17,52,F,2.0
270676,1970-06-19,52,M,5.0
273529,1970-06-19,52,F,1.0
273162,1970-06-19,52,M,8.0
268533,1970-06-23,52,F,6.0
275246,1970-06-25,52,M,3.0
267066,1970-06-25,52,F,10.0
269345,1970-06-26,52,F,10.0
275116,1970-06-29,52,M,5.0
273840,1970-07-01,52,M,3.0
268792,1970-07-04,52,M,4.0
274892,1970-07-05,52,F,8.0
273708,1970-07-09,52,F,7.0
272495,1970-07-10,52,M,8.0
272926,1970-07-11,52,F,4.0
268447,1970-07-14,52,M,4.0
273442,1970-07-16,52,M,4.0
267081,1970-07-17,52,F,3.0
267042,1970-07-23,52,M,8.0
273151,1970-07-24,52,F,4.0
274169,1970-07-24,52,F,1.0
270130,1970-07-26,52,M,9.0
274546,1970-07-26,52,M,3.0
273575,1970-07-27,52,M,1.0
267280,1970-08-02,52,M,5.0
267304,1970-08-03,52,M,4.0
274445,1970-08-06,52,M,8.0
270678,1970-08-06,52,F,4.0
270328,1970-08-07,52,F,4.0
269449,1970-08-09,52,M,6.0
275014,1970-08-12,52,M,4.0
269825,1970-08-21,52,M,4.0
271750,1970-08-23,52,F,6.0
267826,1970-08-24,52,F,7.0
272501,1970-08-26,52,F,1.0
273587,1970-08-29,52,F,1.0
272721,1970-09-01,52,M,8.0
275134,1970-09-02,52,F,8.0
267713,1970-09-03,52,M,1.0
274029,1970-09-03,52,F,1.0
272261,1970-09-03,52,F,9.0
274628,1970-09-04,52,M,5.0
273776,1970-09-06,52,F,2.0
274743,1970-09-06,52,M,4.0
270051,1970-09-07,52,M,8.0
274455,1970-09-08,52,F,10.0
272088,1970-09-08,52,M,5.0
273583,1970-09-08,52,M,5.0
267490,1970-09-09,52,F,4.0
268709,1970-09-09,52,F,4.0
267536,1970-09-10,52,M,3.0
271286,1970-09-10,52,M,1.0
273517,1970-09-11,52,M,5.0
268365,1970-09-12,52,M,5.0
266959,1970-09-13,52,F,1.0
272408,1970-09-13,52,M,6.0
271177,1970-09-14,52,F,5.0
274180,1970-09-14,52,M,6.0
267613,1970-09-15,52,M,3.0
270748,1970-09-17,52,M,5.0
274682,1970-09-19,52,M,10.0
266822,1970-09-20,52,F,9.0
272017,1970-09-22,52,M,8.0
267424,1970-09-22,52,M,7.0
272402,1970-09-23,52,F,10.0
274194,1970-09-24,52,M,5.0
274232,1970-09-26,52,F,5.0
272777,1970-09-29,52,M,7.0
273372,1970-09-29,52,F,1.0
273398,1970-10-01,52,F,1.0
267707,1970-10-02,52,F,2.0
273170,1970-10-03,52,F,8.0
271924,1970-10-03,52,M,5.0
270446,1970-10-05,52,M,10.0
273353,1970-10-07,52,F,4.0
270331,1970-10-08,52,F,10.0
269676,1970-10-09,52,M,8.0
269919,1970-10-11,52,M,1.0
268312,1970-10-12,52,F,9.0
267959,1970-10-12,52,M,6.0
268998,1970-10-12,52,F,7.0
272784,1970-10-14,52,F,8.0
270619,1970-10-16,52,M,6.0
274865,1970-10-18,52,F,8.0
273705,1970-10-20,52,M,5.0
268772,1970-10-20,52,F,3.0
266972,1970-10-21,52,M,7.0
269235,1970-10-22,52,F,4.0
270938,1970-10-23,52,F,9.0
271959,1970-10-26,52,M,9.0
272168,1970-10-26,52,M,2.0
271587,1970-10-27,52,F,10.0
273929,1970-10-28,52,M,5.0
268697,1970-10-29,52,F,1.0
270567,1970-11-01,52,M,8.0
268635,1970-11-01,52,M,4.0
275166,1970-11-05,52,M,10.0
267603,1970-11-06,52,F,1.0
266954,1970-11-06,52,M,4.0
267396,1970-11-13,52,M,9.0
272922,1970-11-14,52,F,7.0
268481,1970-11-15,52,F,3.0
268084,1970-11-18,52,M,1.0
274493,1970-11-19,52,M,5.0
273222,1970-11-19,52,M,6.0
270316,1970-11-19,52,M,4.0
270945,1970-11-23,52,M,1.0
275123,1970-11-23,52,M,9.0
267589,1970-11-24,52,F,9.0
269243,1970-11-25,52,F,7.0
273122,1970-11-28,52,M,4.0
274486,1970-11-29,52,M,9.0
273556,1970-12-01,52,M,3.0
270352,1970-12-04,52,M,2.0
275200,1970-12-04,52,M,8.0
272212,1970-12-10,51,M,4.0
273169,1970-12-12,51,F,3.0
273664,1970-12-13,51,M,6.0
267851,1970-12-13,51,M,3.0
268636,1970-12-15,51,M,4.0
269458,1970-12-16,51,F,10.0
269867,1970-12-17,51,F,1.0
270218,1970-12-18,51,F,8.0
272117,1970-12-19,51,M,10.0
268282,1970-12-22,51,F,1.0
268578,1970-12-24,51,M,7.0
270768,1970-12-27,51,M,10.0
269715,1971-01-02,51,M,10.0
267512,1971-01-07,51,F,7.0
267618,1971-01-08,51,M,2.0
267359,1971-01-08,51,M,1.0
272126,1971-01-10,51,M,9.0
274990,1971-01-10,51,M,9.0
269471,1971-01-10,51,F,2.0
270080,1971-01-11,51,M,8.0
