customer_Id,DOB,Gender,city_code
268408,02-01-1970,M,4.0
269696,07-01-1970,F,8.0
268159,08-01-1970,F,8.0
270181,10-01-1970,F,2.0
268073,11-01-1970,M,1.0
273216,15-01-1970,F,5.0
266929,15-01-1970,M,8.0
275152,16-01-1970,M,4.0
275034,18-01-1970,F,4.0
273966,21-01-1970,M,8.0
270829,22-01-1970,F,8.0
266997,23-01-1970,M,9.0
272455,25-01-1970,M,7.0
274593,26-01-1970,M,10.0
273391,29-01-1970,F,2.0
267657,29-01-1970,F,7.0
271344,29-01-1970,F,5.0
268275,01-02-1970,F,7.0
274630,01-02-1970,M,4.0
273541,01-02-1970,M,4.0
270324,01-02-1970,F,1.0
273613,06-02-1970,M,1.0
271608,09-02-1970,F,4.0
269008,13-02-1970,F,6.0
267199,14-02-1970,,2.0
267916,17-02-1970,F,8.0
267609,18-02-1970,M,2.0
270602,18-02-1970,M,5.0
272883,19-02-1970,M,5.0
272359,19-02-1970,M,4.0
272603,19-02-1970,F,9.0
272028,20-02-1970,F,1.0
274717,21-02-1970,M,7.0
273316,21-02-1970,M,2.0
271262,21-02-1970,M,2.0
267166,22-02-1970,F,4.0
270827,04-03-1970,F,10.0
273423,04-03-1970,F,4.0
271692,07-03-1970,M,5.0
274592,08-03-1970,M,5.0
271777,08-03-1970,M,8.0
266895,12-03-1970,M,4.0
274360,14-03-1970,M,5.0
274602,15-03-1970,F,3.0
266799,16-03-1970,F,5.0
272821,17-03-1970,F,3.0
267379,21-03-1970,F,2.0
273016,22-03-1970,M,3.0
273106,23-03-1970,F,2.0
271935,26-03-1970,M,5.0
273109,27-03-1970,F,5.0
270986,27-03-1970,M,10.0
266969,28-03-1970,M,2.0
273871,29-03-1970,M,7.0
273811,29-03-1970,M,8.0
271312,01-04-1970,F,5.0
274834,02-04-1970,M,4.0
271991,02-04-1970,M,5.0
269765,04-04-1970,F,9.0
272071,06-04-1970,F,6.0
272645,14-04-1970,F,2.0
270780,18-04-1970,F,3.0
272736,19-04-1970,F,1.0
272627,19-04-1970,F,3.0
272795,22-04-1970,M,1.0
270450,24-04-1970,F,3.0
266862,24-04-1970,F,5.0
274535,26-04-1970,F,4.0
269640,29-04-1970,M,7.0
268290,29-04-1970,M,7.0
275250,02-05-1970,F,1.0
272555,03-05-1970,M,1.0
268732,06-05-1970,M,2.0
271478,06-05-1970,F,1.0
267529,09-05-1970,M,4.0
271066,10-05-1970,M,8.0
267819,10-05-1970,F,9.0
269271,12-05-1970,F,5.0
